SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,MAT,BATTING_RANK,BOWLING_RANK,FIELDING_RANK,OTHER_RANK,MOM,TOTAL_RANK,League Name
,790,32995,PHSOB 3,,,,,,,,,,,,,2024 Titans Second League
77,790,32995,Shaanthen Thumbiran,4854734,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,4,4,138,0,0,0,142,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
78,790,32995,Gerrie Viljoen,3015413,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,2,-1,122,16,0,0,137,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
79,790,32995,Johan Feute,4729909,SINOVILLE 3,,SINOVILLE 3,4556,2,53,67,16,0,0,136,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,,2024 Titans Second League
80,790,32995,Robert de Villiers,4729852,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,4560,3,114,0,20,0,0,134,2024 Titans Second League
,790,32995,CENTURION KAVALIERS 3,,,,,,,,,,,,,2024 Titans Second League
81,790,32995,Dylan van Wyk,3277436,SINOVILLE 3,,SINOVILLE 3,4556,1,7,110,16,0,0,133,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,,2024 Titans Second League
82,790,32995,Christo Swanepoel,3299532,PHSOB 4,,PHSOB 4,4561,1,84,40,8,0,0,132,2024 Titans Second League
,790,32995,PHSOB 4,,,,,,,,,,,,,2024 Titans Second League
83,790,32995,Alec Jordaan,4715851,CBCOB 3,,CBCOB 3,4552,4,19,81,32,0,0,132,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,,2024 Titans Second League
84,790,32995,Leon Smith,4673571,TUT 3,,TUT 3,4559,4,60,70,0,0,0,130,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,,2024 Titans Second League
85,790,32995,Oliver Beaclerk,4729876,HARLEQUINS 3,,HARLEQUINS 3,4553,3,14,94,20,0,0,128,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,,2024 Titans Second League
86,790,32995,Duval Smith,4673572,TUT 3,,TUT 3,4559,3,128,0,0,0,0,128,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,,2024 Titans Second League
87,790,32995,Ludwig Erasmus,4702802,SINOVILLE 4,,SINOVILLE 4,4557,3,100,0,24,0,0,124,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,,2024 Titans Second League
88,790,32995,Jody Buys,4729873,HARLEQUINS 3,,HARLEQUINS 3,4553,5,58,45,20,0,0,123,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,,2024 Titans Second League
89,790,32995,Johanco Faihst,3255252,TUKS 5,,TUKS 5,4558,1,99,22,0,0,0,121,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,2024 Titans Second League
90,790,32995,Francois Mostert,5023418,PHSOB 3,,PHSOB 3,4555,1,49,72,0,0,0,121,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,,2024 Titans Second League
91,790,32995,Nico Kruger,2936834,TUKS 5,,TUKS 5,4558,2,27,93,0,0,0,120,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,2024 Titans Second League
92,790,32995,Travis Joshua,3783171,HARLEQUINS 3,,HARLEQUINS 3,4553,3,14,97,8,0,0,119,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,,2024 Titans Second League
93,790,32995,Ryan Kruger,2698181,SINOVILLE 4,,SINOVILLE 4,4557,2,106,0,12,0,0,118,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,,2024 Titans Second League
94,790,32995,Babonke Twetwa,3080703,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,4560,4,33,84,0,0,0,117,2024 Titans Second League
,790,32995,CENTURION KAVALIERS 3,,,,,,,,,,,,,2024 Titans Second League
95,790,32995,Jock de Jager,4165762,TUKS 5,,TUKS 5,4558,3,44,73,0,0,0,117,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,2024 Titans Second League
96,790,32995,Tihardt Kruger,3242942,TUKS 5,,TUKS 5,4558,5,39,69,8,0,0,116,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,2024 Titans Second League
97,790,32995,Acelan Pruss,4655260,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,2,28,72,8,0,0,108,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
98,790,32995,Benjamin Cronje,4702808,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,2,38,62,8,0,0,108,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
