SNO,PLAYER,TEAM_IMG,BLANK,MAT,TEAM,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
62,Jaydon Blom,SINOVILLE 3,,SINOVILLE 3,1,1,9.0,46,3,46/ 3,0,35,5.11,15.33,18.0,0,0,0,3,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
63,Reghardt Smit,CBCOB 3,,CBCOB 3,1,1,7.0,37,3,37/ 3,1,26,5.29,12.33,14.0,0,0,0,4,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
64,Henre Quins,HARLEQUINS 3,,HARLEQUINS 3,4,4,25.4,140,3,20/ 2,0,50,5.45,46.67,51.3,0,0,0,0,0,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
65,Tihardt Kruger,TUKS 5,,TUKS 5,5,3,11.0,61,3,13/ 2,0,38,5.55,20.33,22.0,0,0,0,8,0,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
66,Leon Smith,TUT 3,,TUT 3,4,2,8.0,45,3,31/ 2,0,27,5.62,15.00,16.0,0,0,0,0,0,2024 Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
67,Tyler Miller,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4,4,7.3,44,3,16/ 2,1,28,5.87,14.67,15.0,0,0,0,6,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
68,Matt Vd Mescht,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4,3,14.0,83,3,28/ 2,2,59,5.93,27.67,28.0,0,0,0,12,7,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
69,Babonke Twetwa,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,4,2,11.0,66,3,24/ 3,1,41,6.00,22.00,22.0,0,0,0,2,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
70,Johan van Antwerpen,PHSOB 4,,PHSOB 4,1,1,6.0,38,3,38/ 3,0,23,6.33,12.67,12.0,0,0,0,5,0,2024 Titans Second League
,PHSOB 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
71,Franco Schmidt,CBCOB 3,,CBCOB 3,6,3,20.0,128,3,59/ 2,1,71,6.40,42.67,40.0,0,0,0,7,3,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
72,Tyler Lockhart,PHSOB 3,,PHSOB 3,1,1,8.1,54,3,54/ 3,0,27,6.61,18.00,16.3,0,0,0,1,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
73,Ruan Venter,SINOVILLE 4,,SINOVILLE 4,4,4,15.0,105,3,59/ 3,0,55,7.00,35.00,30.0,0,0,0,6,1,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
74,Heinrich Maraldo,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,3,2,8.0,57,3,41/ 3,0,23,7.12,19.00,16.0,0,0,0,2,1,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
75,Thuto Scheepers,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,5.0,36,3,36/ 3,0,17,7.20,12.00,10.0,0,0,0,7,2,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
