SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s,League Name
85,Frits Snyman,TUKS 5,,TUKS 5,10,8,1,47,105,6.71,44.76,13,0,0,0,0,2,0,6,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
86,Morati Lefhiedi,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,0,46,47,46.00,97.87,46,0,0,0,1,0,1,4,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
87,Pieter Jansen van rensburg,SINOVILLE 3,,SINOVILLE 3,2,2,0,44,34,22.00,129.41,28,0,0,0,1,0,1,6,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
88,James Van der merwe,SINOVILLE 4,,SINOVILLE 4,2,2,0,44,51,22.00,86.27,23,0,0,0,0,0,1,5,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
89,Hennie Jnr Smit,SINOVILLE 4,,SINOVILLE 4,1,1,1,43,29,--,148.28,43,0,0,0,1,0,0,5,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
90,Armin Havenga,CBCOB 3,,CBCOB 3,3,3,1,43,53,21.50,81.13,28,0,0,0,1,0,0,2,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
91,Keaton Steenkamp,SINOVILLE 4,,SINOVILLE 4,1,1,0,42,27,42.00,155.56,42,0,0,0,1,0,4,3,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
92,Tihardt Kruger,TUKS 5,,TUKS 5,5,4,0,42,78,10.50,53.85,17,0,0,0,0,0,0,3,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
93,Ruan Venter,SINOVILLE 3,,SINOVILLE 3,5,4,0,41,45,10.25,91.11,21,0,0,0,0,1,2,3,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
94,Zadian Cbc3,CBCOB 3,,CBCOB 3,1,1,0,39,29,39.00,134.48,39,0,0,0,1,0,2,4,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
95,Sellin de Beer,PHSOB 3,,PHSOB 3,2,1,0,39,35,39.00,111.43,39,0,0,0,1,0,1,5,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
96,Babonke Twetwa,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,4,4,1,39,59,13.00,66.10,29,0,0,0,1,1,1,2,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
97,Gerhard De Bruin,TUKS 5,,TUKS 5,5,5,0,39,61,7.80,63.93,19,0,0,0,0,2,1,4,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
98,Devin Cbc3,CBCOB 3,,CBCOB 3,1,1,0,37,33,37.00,112.12,37,0,0,0,1,0,1,6,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
99,Jock de Jager,TUKS 5,,TUKS 5,3,3,2,37,48,37.00,77.08,27,0,0,0,1,0,1,5,2024 Titans Second League
