MATCH_ID,LEAGUE_ID,LEAGUE_NAME,LEAGUE_YEAR,CLUB_ID,MATCH_TYPE,MATCH_DATE,MATCH_DATE_KEY,RESULT,INNINGS,BATTING_TEAM_ID,BOWLING_TEAM_ID,BATTING_TEAM_NAME,BOWLING_TEAM_NAME,TOTAL_RUNS,TOTAL_BALLS,BYES,LEG_BYES,WICKETS,WIDES,NO_BALLS,PENALTY
8012,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,22/11/2025,20251122,HARLEQUINS 3 won by 87 Runs,1,5426,5432,HARLEQUINS 3,IRENE VILLAGERS 4,198,237,1,5,10,31,4,0
8012,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,22/11/2025,20251122,HARLEQUINS 3 won by 87 Runs,2,5432,5426,IRENE VILLAGERS 4,HARLEQUINS 3,111,120,0,0,4,14,2,0
8011,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,22/11/2025,20251122,Winner: PHSOB 3,1,5427,5428,IRENE VILLAGERS 3,PHSOB 3,234,254,5,1,10,22,2,0
8011,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,22/11/2025,20251122,Winner: PHSOB 3,2,5428,5427,PHSOB 3,IRENE VILLAGERS 3,114,138,0,0,4,15,0,0
7967,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,15/11/2025,20251115,Abandoned.,1,5431,5427,TUT 3,IRENE VILLAGERS 3,0,0,0,0,0,0,0,0
7967,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,15/11/2025,20251115,Abandoned.,2,5427,5431,IRENE VILLAGERS 3,TUT 3,0,0,0,0,0,0,0,0
7901,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,15/11/2025,20251115,Abandoned.,1,5432,5425,IRENE VILLAGERS 4,CBCOB 3,32,47,0,2,2,7,0,0
7901,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,15/11/2025,20251115,Abandoned.,2,5425,5432,CBCOB 3,IRENE VILLAGERS 4,0,0,0,0,0,0,0,0
7898,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,15/11/2025,20251115,PHSOB 3 won by 5 Wickets,1,5426,5428,HARLEQUINS 3,PHSOB 3,53,65,4,0,10,9,1,0
7898,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,15/11/2025,20251115,PHSOB 3 won by 5 Wickets,2,5428,5426,PHSOB 3,HARLEQUINS 3,55,82,1,0,5,3,0,0
