SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,MAT,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
76,949,32995,Ryno Vermaak,6299554,SINOVILLE 3,,SINOVILLE 3,5429,5,5,19.0,150,3,25/ 1,0,59,7.89,50.00,38.0,0,0,0,7,2,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
77,949,32995,Reinhardt Hamann,6371950,TUKS 5,,TUKS 5,5430,5,3,13.4,46,2,15/ 1,0,60,3.37,23.00,41.0,0,0,0,8,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
78,949,32995,Jared Fourie,3795661,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,2,2,16.0,54,2,25/ 1,2,65,3.38,27.00,48.0,0,0,0,2,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
79,949,32995,Jody Buys,4729873,HARLEQUINS 3,,HARLEQUINS 3,5426,1,1,5.0,20,2,20/ 2,1,25,4.00,10.00,15.0,0,0,0,7,2,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
80,949,32995,James van der Merwe,5000388,SINOVILLE 3,,SINOVILLE 3,5429,1,1,5.0,20,2,20/ 2,1,19,4.00,10.00,15.0,0,0,0,1,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
