SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s
66,Dylan Cutting,HARLEQUINS 3,,HARLEQUINS 3,2,2,1,61,63,61.00,96.83,38,0,0,0,1,0,2,7
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
67,Neil Jansen,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4,3,2,61,73,61.00,83.56,49,0,0,0,1,0,2,7
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
68,Ruan Coetzer,HARLEQUINS 3,,HARLEQUINS 3,10,9,2,61,84,8.71,72.62,37,0,0,0,1,0,2,3
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
69,Neiko Stigling,TUT 3,,TUT 3,4,3,1,55,54,27.50,101.85,24,0,0,0,0,0,1,6
,TUT 3,,,,,,,,,,,,,,,,,,
70,Janro De Bruin,CBCOB 3,,CBCOB 3,8,6,2,55,102,13.75,53.92,19,0,0,0,0,2,0,8
,CBCOB 3,,,,,,,,,,,,,,,,,,
71,Jason Van Loggenberg,SINOVILLE 3,,SINOVILLE 3,1,1,0,53,40,53.00,132.50,53,0,0,1,0,0,4,3
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
72,Leon Bender,CBCOB 3,,CBCOB 3,4,3,0,53,83,17.67,63.86,26,0,0,0,1,0,2,3
,CBCOB 3,,,,,,,,,,,,,,,,,,
73,Jan Jones,TUKS 5,,TUKS 5,9,7,0,53,94,7.57,56.38,21,0,0,0,0,2,0,5
,TUKS 5,,,,,,,,,,,,,,,,,,
74,Dylan Kotze,CBCOB 3,,CBCOB 3,3,3,0,52,81,17.33,64.20,29,0,0,0,1,0,0,7
,CBCOB 3,,,,,,,,,,,,,,,,,,
75,Edwin De Waal,PHSOB 3,,PHSOB 3,4,3,0,51,38,17.00,134.21,26,0,0,0,2,1,3,6
,PHSOB 3,,,,,,,,,,,,,,,,,,
76,Marcel Cronjé,PHSOB 3,,PHSOB 3,4,4,2,50,99,25.00,50.51,32,0,0,0,1,0,0,2
,PHSOB 3,,,,,,,,,,,,,,,,,,
77,Henre Smith,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3,2,0,50,104,25.00,48.08,30,0,0,0,1,0,2,4
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
78,Ulrich Breytenbach,HARLEQUINS 3,,HARLEQUINS 3,4,4,1,49,66,16.33,74.24,22,0,0,0,0,0,0,7
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
79,Lehlohonolo Moshoati,TUKS 5,,TUKS 5,2,2,0,48,32,24.00,150.00,34,0,0,0,1,0,4,3
,TUKS 5,,,,,,,,,,,,,,,,,,
80,Christoff  Pompie Helm,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,7,5,3,48,142,24.00,33.80,17,0,0,0,0,0,0,7
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
81,Matt Collett,PHSOB 3,,PHSOB 3,2,2,0,47,55,23.50,85.45,41,0,0,0,1,0,1,7
,PHSOB 3,,,,,,,,,,,,,,,,,,
82,Christo Swanepoel,PHSOB 3,,PHSOB 3,3,3,1,46,67,23.00,68.66,24,0,0,0,0,0,0,5
