SNO,LEAGUE_ID,CLUB_ID,MATCH_TYPE,DATE,TEAM_ONE,TEAM_ONE_URL,TEAM_ONE_ID,TEAM_ONE_CLUB_ID,TEAM_TWO,TEAM_TWO_URL,TEAM_TWO_ID,TEAM_TWO_CLUB_ID,RESULT,SCORES_SUMMARY_RAW,SCORECARD_URL,POINTS,SCORE_SUMMARY_TEAM_1,SCORE_SUMMARY_TEAM_1_SCORE,SCORE_SUMMARY_TEAM_2,SCORE_SUMMARY_TEAM_2_SCORE,League Name
56,18,32995,League,02/11/2023,REFILWE 1,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1192&clubId=32995,1192,32995,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1194&clubId=32995,1194,32995,Forfeited. Winner: SINOVILLE 3,REFILWE 1: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1689&clubId=32995,4,REFILWE 1,0/0(0.0),,,Titans Second League
55,18,32995,League,02/05/2023,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1200&clubId=32995,1200,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1193&clubId=32995,1193,32995,SINOVILLE 4 won by 3 Runs,SINOVILLE 4: 164/6(20.0) PHSOB 3: 161/7(20.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1651&clubId=32995,0,SINOVILLE 4,164/6(20.0),PHSOB 3,161/7(20.0),Titans Second League
54,18,32995,League,02/04/2023,POLICE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1201&clubId=32995,1201,32995,TUKS 6,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1861&clubId=32995,1861,32995,Abandoned.,POLICE 3: 0/0(20.0) TUKS 6: 0/0(20.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1758&clubId=32995,2,POLICE 3,0/0(20.0),TUKS 6,0/0(20.0),Titans Second League
53,18,32995,League,02/04/2023,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1196&clubId=32995,1196,32995,REFILWE 1,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1192&clubId=32995,1192,32995,Forfeited. Winner: CBCOB 3,CBCOB 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1646&clubId=32995,0,CBCOB 3,0/0(0.0),,,Titans Second League
52,18,32995,League,02/04/2023,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1197&clubId=32995,1197,32995,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1194&clubId=32995,1194,32995,Forfeited. Winner: TUT 3,TUT 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1644&clubId=32995,0,TUT 3,0/0(0.0),,,Titans Second League
51,18,32995,League,02/04/2023,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1195&clubId=32995,1195,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1860&clubId=32995,1860,32995,IRENE VILLAGERS 3 won by 81 Runs,IRENE VILLAGERS 3: 144/7(20.0) TUKS 5: 63/10(15.5),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1624&clubId=32995,0,IRENE VILLAGERS 3,144/7(20.0),TUKS 5,63/10(15.5),Titans Second League
50,18,32995,League,01/28/2023,POLICE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1201&clubId=32995,1201,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1196&clubId=32995,1196,32995,Forfeited. Winner: CBCOB 3,POLICE 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=2025&clubId=32995,4,POLICE 3,0/0(0.0),,,Titans Second League
49,18,32995,League,01/28/2023,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1860&clubId=32995,1860,32995,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1194&clubId=32995,1194,32995,SINOVILLE 3 won by 6 Wickets,TUKS 5: 137/8(20.0) SINOVILLE 3: 138/4(16.5),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1530&clubId=32995,4,TUKS 5,137/8(20.0),SINOVILLE 3,138/4(16.5),Titans Second League
48,18,32995,League,01/28/2023,TUKS 6,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1861&clubId=32995,1861,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1193&clubId=32995,1193,32995,PHSOB 3 won by 7 Wickets,TUKS 6: 131/8(20.0) PHSOB 3: 136/3(18.3),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1528&clubId=32995,4,TUKS 6,131/8(20.0),PHSOB 3,136/3(18.3),Titans Second League
47,18,32995,League,01/28/2023,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1200&clubId=32995,1200,32995,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1195&clubId=32995,1195,32995,SINOVILLE 4 won by 64 Runs,SINOVILLE 4: 228/2(20.0) IRENE VILLAGERS 3: 164/7(20.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1527&clubId=32995,0,SINOVILLE 4,228/2(20.0),IRENE VILLAGERS 3,164/7(20.0),Titans Second League
