SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,MAT,BATTING_RANK,BOWLING_RANK,FIELDING_RANK,OTHER_RANK,MOM,TOTAL_RANK,League Name
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
136,18,32995,Franco Ferns,3069549,CBCOB 3,,CBCOB 3,1196,1,0,80,0,0,0,80,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
137,18,32995,Ivan Bekker,2936839,TUKS 5,,TUKS 5,1860,7,59,20,0,0,0,79,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,Titans Second League
138,18,32995,Johan Pretorius,3255251,TUKS 5,,TUKS 5,1860,2,78,0,0,0,0,78,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,Titans Second League
139,18,32995,Puseletso Mogofe,2936856,TUKS 6,,TUKS 6,1861,4,57,20,0,0,0,77,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,Titans Second League
140,18,32995,Noele Saffar,2986862,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,10,37,0,40,0,0,77,Titans Second League
