SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s,League Name
58,Niel Coetzee,TUT 3,,TUT 3,6,5,0,55,114,11.00,48.25,23,0,0,0,0,0,0,7,Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,Titans Second League
59,Muhammad Adil Khan,POLICE 3,,POLICE 3,3,2,0,54,32,27.00,168.75,49,0,0,0,1,0,3,6,Titans Second League
,POLICE 3,,,,,,,,,,,,,,,,,,,Titans Second League
60,Ivan Bekker,TUKS 5,,TUKS 5,7,6,0,54,81,9.00,66.67,27,0,0,0,1,1,1,3,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
61,Danish Khan,POLICE 3,,POLICE 3,3,2,0,52,64,26.00,81.25,45,0,0,0,1,0,2,6,Titans Second League
,POLICE 3,,,,,,,,,,,,,,,,,,,Titans Second League
62,Wian Ruthven,SINOVILLE 4,,SINOVILLE 4,2,1,0,50,36,50.00,138.89,50,0,0,1,0,0,1,8,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
63,Paul Gouws,CBCOB 3,,CBCOB 3,4,3,0,50,53,16.67,94.34,21,0,0,0,0,0,2,3,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
64,Marne Weldhagen,SINOVILLE 4,,SINOVILLE 4,1,1,1,49,27,--,181.48,49,0,0,0,1,0,1,7,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
65,Martin Van Tonder,TUKS 5,,TUKS 5,12,6,1,47,55,9.40,85.45,31,0,0,0,1,2,2,4,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
66,Charl Foxcroft,TUT 3,,TUT 3,5,3,0,45,65,15.00,69.23,40,0,0,0,1,1,1,4,Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,Titans Second League
67,Johan Pretorius,TUKS 5,,TUKS 5,2,2,0,44,54,22.00,81.48,25,0,0,0,1,0,0,4,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
68,Phillp Irene,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,1,44,61,--,72.13,44,0,0,0,1,0,1,4,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
69,Tyron Denton,PHSOB 3,,PHSOB 3,4,2,1,43,37,43.00,116.22,29,0,0,0,1,0,0,5,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
70,Wian van Deventer,SINOVILLE 3,,SINOVILLE 3,2,2,1,43,39,43.00,110.26,27,0,0,0,1,0,0,3,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
71,Erik Hartman,TUKS 6,,TUKS 6,4,4,0,42,71,10.50,59.15,22,0,0,0,0,0,0,7,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
72,Noele Saffar,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,10,8,1,40,57,5.71,70.18,27,0,0,0,1,3,3,1,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
