SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,MAT,TEAM,TEAM_ID,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
,18,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
60,18,32995,Stanley Fabri,3056139,SINOVILLE 4,,SINOVILLE 4,3,,3,10.0,30,2,8/ 1,2,47,3.00,15.00,30.0,0,0,0,3,0,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,Titans Second League
61,18,32995,Luca Tuks 6,3163550,TUKS 6,,TUKS 6,1,,1,9.0,27,2,27/ 2,0,41,3.00,13.50,27.0,0,0,0,8,0,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,,,,,,,,,,Titans Second League
62,18,32995,Gershwin Reid,3266898,CBCOB 3,,CBCOB 3,1,,1,4.0,15,2,15/ 2,0,13,3.75,7.50,12.0,0,0,0,1,0,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
63,18,32995,Stan Skinner,3031824,TUKS 5,,TUKS 5,1,,1,5.0,19,2,19/ 2,1,22,3.80,9.50,15.0,0,0,0,1,0,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,Titans Second League
64,18,32995,Zandre Nel,3056622,SINOVILLE 4,,SINOVILLE 4,1,,1,4.0,17,2,17/ 2,0,18,4.25,8.50,12.0,0,0,0,3,3,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,Titans Second League
65,18,32995,James Nelson,3145210,CBCOB 3,,CBCOB 3,1,,1,4.0,17,2,17/ 2,0,20,4.25,8.50,12.0,0,0,0,3,2,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
66,18,32995,Stefan Grobler,3018230,TUT 3,,TUT 3,6,,6,25.0,132,2,20/ 1,1,94,5.28,66.00,75.0,0,0,0,15,5,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
67,18,32995,Ryan Kruger,2698181,SINOVILLE 4,,SINOVILLE 4,2,,1,4.0,22,2,22/ 2,0,15,5.50,11.00,12.0,0,0,0,1,0,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,Titans Second League
68,18,32995,Playa2 Cbc,3255331,CBCOB 3,,CBCOB 3,1,,1,4.0,22,2,22/ 2,0,13,5.50,11.00,12.0,0,0,0,2,0,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
69,18,32995,Manie de Beer,2947307,SINOVILLE 4,,SINOVILLE 4,1,,1,5.0,28,2,28/ 2,1,17,5.60,14.00,15.0,0,0,0,5,0,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,Titans Second League
70,18,32995,Jean Coetser,3018231,TUT 3,,TUT 3,5,,3,20.0,115,2,12/ 1,0,50,5.75,57.50,60.0,0,0,0,1,0,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
71,18,32995,Tiaan Lotter,2934784,SINOVILLE 4,,SINOVILLE 4,2,,1,3.0,18,2,18/ 2,0,11,6.00,9.00,9.0,0,0,0,0,0,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,Titans Second League
72,18,32995,Adriaan Venter,3673677,CBCOB 3,,CBCOB 3,6,,3,14.0,84,2,20/ 1,0,47,6.00,42.00,42.0,0,0,0,7,1,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
73,18,32995,Riaan Davel,3163488,SINOVILLE 4,,SINOVILLE 4,4,,3,12.0,73,2,11/ 1,2,45,6.08,36.50,36.0,0,0,0,2,0,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,Titans Second League
74,18,32995,Latir Grey-Johnson,3018351,TUKS 6,,TUKS 6,3,,3,13.0,83,2,10/ 1,0,43,6.38,41.50,39.0,0,0,0,5,0,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,,,,,,,,,,Titans Second League
75,18,32995,Wian van Deventer,3257325,SINOVILLE 3,,SINOVILLE 3,2,,2,6.0,39,2,5/ 2,0,17,6.50,19.50,18.0,0,0,0,2,0,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
76,18,32995,JP Roetz,3267058,SINOVILLE 4,,SINOVILLE 4,1,,1,4.0,28,2,28/ 2,0,11,7.00,14.00,12.0,0,0,0,4,0,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,Titans Second League
77,18,32995,Tyron Denton,2936916,PHSOB 3,,PHSOB 3,4,,3,8.0,58,2,22/ 2,0,26,7.25,29.00,24.0,0,0,0,3,0,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
78,18,32995,MJ Gouws,2990919,SINOVILLE 3,,SINOVILLE 3,2,,1,9.0,67,2,67/ 2,0,29,7.44,33.50,27.0,0,0,0,7,0,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
79,18,32995,Luke Mogagene,2987535,TUKS 6,,TUKS 6,3,,2,8.0,61,2,31/ 2,0,27,7.62,30.50,24.0,0,0,0,5,1,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,,,,,,,,,,Titans Second League
80,18,32995,Rowan Poole,3056112,CBCOB 3,,CBCOB 3,1,,1,7.0,56,2,56/ 2,0,16,8.00,28.00,21.0,0,0,0,1,0,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
81,18,32995,Mosleh Uddin,3226767,SINOVILLE 3,,SINOVILLE 3,1,,1,1.3,12,2,12/ 2,0,6,8.00,6.00,4.5,0,0,0,0,0,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
82,18,32995,Jeandre van Molendorff,2936736,SINOVILLE 3,,SINOVILLE 3,1,,1,4.0,33,2,33/ 2,0,14,8.25,16.50,12.0,0,0,0,5,0,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
83,18,32995,Dries Van der Lith,2934771,SINOVILLE 4,,SINOVILLE 4,2,,2,6.0,52,2,23/ 2,0,19,8.67,26.00,18.0,0,0,0,2,0,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,Titans Second League
84,18,32995,Hlomla Henna,2936855,TUKS 6,,TUKS 6,7,,1,3.0,27,2,27/ 2,0,6,9.00,13.50,9.0,0,0,0,7,0,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,,,,,,,,,,Titans Second League
85,18,32995,Maritz Bezuidenhout,3180554,SINOVILLE 4,,SINOVILLE 4,2,,1,3.0,27,2,27/ 2,0,7,9.00,13.50,9.0,0,0,0,3,0,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,Titans Second League
86,18,32995,Bruce Crossey,3018342,CBCOB 3,,CBCOB 3,10,,2,5.0,46,2,23/ 2,0,14,9.20,23.00,15.0,0,0,0,1,0,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
87,18,32995,Nasir Iqbal,2973877,POLICE 3,,POLICE 3,3,,2,14.0,131,2,82/ 2,0,26,9.36,65.50,42.0,0,0,0,1,0,Titans Second League
,18,32995,POLICE 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
88,18,32995,Shaun Muirhead,2889022,CBCOB 3,,CBCOB 3,10,,3,7.0,71,2,18/ 1,0,16,10.14,35.50,21.0,0,0,0,2,0,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
89,18,32995,Humayon Baig Mirza,2973881,POLICE 3,,POLICE 3,3,,1,6.0,64,2,64/ 2,0,12,10.67,32.00,18.0,0,0,0,0,0,Titans Second League
,18,32995,POLICE 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
90,18,32995,Paul Gouws,3056110,CBCOB 3,,CBCOB 3,4,,1,4.0,45,2,45/ 2,0,10,11.25,22.50,12.0,0,0,0,8,0,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
91,18,32995,Dylan Kotze,2987579,CBCOB 3,,CBCOB 3,3,,1,1.0,0,1,0/ 1,1,6,0.00,0.00,6.0,0,0,0,0,0,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
92,18,32995,Playa3 Cbc,3255332,CBCOB 3,,CBCOB 3,1,,1,4.0,9,1,9/ 1,0,16,2.25,9.00,24.0,0,0,0,0,0,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
93,18,32995,Wayne Scott,3056109,CBCOB 3,,CBCOB 3,3,,1,6.0,16,1,16/ 1,1,25,2.67,16.00,36.0,0,0,0,1,1,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
94,18,32995,Franco Ferns,3069549,CBCOB 3,,CBCOB 3,1,,1,6.0,19,1,19/ 1,1,24,3.17,19.00,36.0,0,0,0,2,0,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
95,18,32995,Xander Venter,3229695,SINOVILLE 3,,SINOVILLE 3,1,,1,4.0,13,1,13/ 1,0,20,3.25,13.00,24.0,0,0,0,1,2,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
96,18,32995,Stefan van Staden,3056136,SINOVILLE 4,,SINOVILLE 4,1,,1,6.0,24,1,24/ 1,2,28,4.00,24.00,36.0,0,0,0,1,0,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,Titans Second League
97,18,32995,Jaco de Vos,2936844,TUKS 5,,TUKS 5,1,,1,4.0,17,1,17/ 1,0,19,4.25,17.00,24.0,0,0,0,7,0,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,Titans Second League
98,18,32995,Hendre Du toit,2987477,SINOVILLE 4,,SINOVILLE 4,3,,2,10.2,45,1,30/ 1,1,36,4.35,45.00,62.0,0,0,0,0,0,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,Titans Second League
99,18,32995,Ivan Bekker,2936839,TUKS 5,,TUKS 5,7,,1,0.4,3,1,3/ 1,0,3,4.50,3.00,4.0,0,0,0,0,2,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,Titans Second League
100,18,32995,Hendre Du toit,2987477,SINOVILLE 3,,SINOVILLE 3,2,,1,4.0,19,1,19/ 1,0,14,4.75,19.00,24.0,0,0,0,0,0,Titans Second League
