SNO,LEAGUE_ID,CLUB_ID,MATCH_TYPE,DATE,TEAM_ONE,TEAM_ONE_URL,TEAM_ONE_ID,TEAM_ONE_CLUB_ID,TEAM_TWO,TEAM_TWO_URL,TEAM_TWO_ID,TEAM_TWO_CLUB_ID,RESULT,SCORES_SUMMARY_RAW,SCORECARD_URL,POINTS,SCORE_SUMMARY_TEAM_1,SCORE_SUMMARY_TEAM_1_SCORE,SCORE_SUMMARY_TEAM_2,SCORE_SUMMARY_TEAM_2_SCORE,League Name
62,576,32995,League,03/16/2024,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3302&clubId=32995,3302,32995,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3306&clubId=32995,3306,32995,HARLEQUINS 3 won by 2 Wickets,SINOVILLE 3: 121/10(34.4) HARLEQUINS 3: 122/8(31.2),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=4830&clubId=32995,4,SINOVILLE 3,121/10(34.4),HARLEQUINS 3,122/8(31.2),2023 Titans Second League
61,576,32995,League,03/16/2024,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3299&clubId=32995,3299,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3298&clubId=32995,3298,32995,IRENE VILLAGERS 3 won by 38 Runs,IRENE VILLAGERS 3: 203/10(38.2) CBCOB 3: 165/10(38.2),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=4800&clubId=32995,0,IRENE VILLAGERS 3,203/10(38.2),CBCOB 3,165/10(38.2),2023 Titans Second League
60,576,32995,League,03/16/2024,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3307&clubId=32995,3307,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3304&clubId=32995,3304,32995,IRENE VILLAGERS 4 won by 60 Runs,IRENE VILLAGERS 4: 203/10(44.4) TUKS 5: 143/10(32.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=4798&clubId=32995,0,IRENE VILLAGERS 4,203/10(44.4),TUKS 5,143/10(32.0),2023 Titans Second League
59,576,32995,League,03/16/2024,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3300&clubId=32995,3300,32995,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3303&clubId=32995,3303,32995,Forfeited. Winner: PHSOB 3,PHSOB 3: 0/0(45.0) SINOVILLE 4: 0/0(45.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=4775&clubId=32995,0,PHSOB 3,0/0(45.0),SINOVILLE 4,0/0(45.0),2023 Titans Second League
58,576,32995,League,03/09/2024,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3307&clubId=32995,3307,32995,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3303&clubId=32995,3303,32995,Winner: IRENE VILLAGERS 4,IRENE VILLAGERS 4: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=5040&clubId=32995,0,IRENE VILLAGERS 4,0/0(0.0),,,2023 Titans Second League
57,576,32995,League,03/09/2024,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3305&clubId=32995,3305,32995,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3306&clubId=32995,3306,32995,HARLEQUINS 3 won by 6 Wickets,TUT 3: 219/6(40.0) HARLEQUINS 3: 221/4(36.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=4738&clubId=32995,4,TUT 3,219/6(40.0),HARLEQUINS 3,221/4(36.0),2023 Titans Second League
56,576,32995,League,03/09/2024,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3299&clubId=32995,3299,32995,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3302&clubId=32995,3302,32995,IRENE VILLAGERS 3 won by 128 Runs,IRENE VILLAGERS 3: 224/10(41.2) SINOVILLE 3: 96/10(22.1),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=4723&clubId=32995,0,IRENE VILLAGERS 3,224/10(41.2),SINOVILLE 3,96/10(22.1),2023 Titans Second League
55,576,32995,League,03/09/2024,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3300&clubId=32995,3300,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3298&clubId=32995,3298,32995,PHSOB 3 won by 224 Runs,PHSOB 3: 342/7(45.0) CBCOB 3: 118/10(27.5),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=4721&clubId=32995,0,PHSOB 3,342/7(45.0),CBCOB 3,118/10(27.5),2023 Titans Second League
54,576,32995,League,03/02/2024,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3302&clubId=32995,3302,32995,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3305&clubId=32995,3305,32995,Forfeited. Winner: TUT 3,SINOVILLE 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=5041&clubId=32995,4,SINOVILLE 3,0/0(0.0),,,2023 Titans Second League
53,576,32995,League,03/02/2024,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3300&clubId=32995,3300,32995,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3299&clubId=32995,3299,32995,IRENE VILLAGERS 3 won by 7 Wickets,PHSOB 3: 133/10(25.3) IRENE VILLAGERS 3: 139/3(17.3),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=4644&clubId=32995,4,PHSOB 3,133/10(25.3),IRENE VILLAGERS 3,139/3(17.3),2023 Titans Second League
52,576,32995,League,03/02/2024,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3298&clubId=32995,3298,32995,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3307&clubId=32995,3307,32995,CBCOB 3 won by 51 Runs,CBCOB 3: 223/10(36.4) IRENE VILLAGERS 4: 172/10(35.3),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=4640&clubId=32995,0,CBCOB 3,223/10(36.4),IRENE VILLAGERS 4,172/10(35.3),2023 Titans Second League
51,576,32995,League,03/02/2024,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3304&clubId=32995,3304,32995,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3306&clubId=32995,3306,32995,HARLEQUINS 3 won by 4 Wickets,TUKS 5: 145/10(36.3) HARLEQUINS 3: 146/6(26.3),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=4638&clubId=32995,4,TUKS 5,145/10(36.3),HARLEQUINS 3,146/6(26.3),2023 Titans Second League
