SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,MAT,TEAM,TEAM_ID,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
59,576,32995,Ian Dorfling,3795252,SINOVILLE 4,,SINOVILLE 4,5,,4,13.0,77,4,34/ 3,0,27,5.92,19.25,19.5,0,0,0,3,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
60,576,32995,Keaton Steenkamp,2944947,SINOVILLE 3,,SINOVILLE 3,5,,5,23.0,137,4,25/ 2,1,62,5.96,34.25,34.5,0,0,0,10,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
61,576,32995,Riccardo Oosthuizen,2936842,TUKS 5,,TUKS 5,7,,6,29.0,185,4,44/ 2,1,90,6.38,46.25,43.5,0,0,0,12,0,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
62,576,32995,Tyler Miller,3729934,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,7,,5,25.3,170,4,52/ 2,0,81,6.67,42.50,38.2,0,0,0,19,3,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
63,576,32995,Dillan Chatham,3928461,CBCOB 3,,CBCOB 3,2,,2,11.0,74,4,40/ 3,0,21,6.73,18.50,16.5,0,0,0,2,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
64,576,32995,Adriaan Venter,3673677,CBCOB 3,,CBCOB 3,2,,1,7.3,52,4,52/ 4,0,26,6.93,13.00,11.2,0,1,0,8,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
65,576,32995,Tiaan Borman,3772082,SINOVILLE 3,,SINOVILLE 3,2,,2,7.0,51,4,25/ 3,0,11,7.29,12.75,10.5,0,0,0,7,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
66,576,32995,Hendré van Niekerk,3713455,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,6,,3,8.3,76,4,37/ 2,0,24,8.94,19.00,12.8,0,0,0,20,1,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
67,576,32995,Josh Botes,3795663,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,,1,3.0,7,3,7/ 3,1,12,2.33,2.33,6.0,0,0,0,0,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
